6 9
-6.679230e-01	1.658210e+03  -2.287450e+02   1.059990e+03  2.524110e-01	1.629220e+03   1.464020e+02  -6.705920e+02 -1.036580e+00	1.684810e+03  -5.284270e+02   3.411680e+03 -4.471590e-01	1.653550e+03  -5.325720e+02   1.531650e+03  1.733800e+00	1.562890e+03  -1.416330e+02  -1.795570e+03 -2.812220e+00	1.805160e+03  -2.765820e+03   1.062920e+04
 1.000000e+00  -1.713480e-07   1.377470e-09  -1.067430e-11  1.000010e+00       -3.590100e-05   1.860420e-07  -9.611780e-10  1.000490e+00       -1.655540e-03   1.826180e-05  -1.228300e-07  9.966530e-01          -4.446100e-03   6.602000e-05  -4.986600e-07  6.156940e-01   1.106830e-03  -5.472440e-05   6.124010e-07  9.165190e-01  -1.412350e-02   3.267210e-04  -3.120850e-06
 6.724430e-01	1.755050e-02  -4.579530e-04   4.388760e-06 -0.41  0.970  5.987050e-01	2.051580e-02  -4.700730e-04   3.982980e-06 -0.46  0.979  6.004560e-01	1.888710e-02  -3.843610e-04   2.915390e-06 -0.48  0.985  6.386390e-01	1.542120e-02  -2.691620e-04   1.736630e-06 -0.36  0.992  8.466580e-01	7.396640e-03  -1.990190e-04   1.896480e-06 -0.31  0.992  5.737630e-01	1.799160e-02  -3.249100e-04   2.313260e-06 -0.51  0.991
-3.536650e+02	2.711000e+03  -1.017660e+03   2.121070e+02 -6.520740e+02	3.614600e+03  -1.873590e+03   3.782900e+02 -6.965750e+02	3.790460e+03  -2.143680e+03   4.079410e+02 -6.477140e+02	3.763530e+03  -2.247230e+03   4.224320e+02 -3.434120e+02	2.808060e+03  -1.521170e+03   2.903360e+02 -7.168860e+02	4.031030e+03  -2.551340e+03   4.773080e+02
 9.999860e-01   2.663060e-05  -1.945230e-05   4.508700e-06   9.954260e-01   9.145530e-03  -6.674340e-03   1.572100e-03   8.801220e-01   2.357320e-01  -1.764970e-01   4.175820e-02   6.895150e-01   5.967890e-01  -4.464110e-01   1.057790e-01   5.154650e-02   1.102260e+00  -7.592330e-01   1.772650e-01  -1.785760e-01   2.283900e+00  -1.745990e+00   4.253400e-01
 5.755230e-01	5.607300e-01  -3.356870e-01   7.400180e-02 -0.52  0.977  4.797910e-01	7.981270e-01  -5.198690e-01   1.199290e-01 -0.55  0.983  4.658670e-01	8.506240e-01  -5.571030e-01   1.281210e-01 -0.53  0.985  5.115950e-01	7.811830e-01  -5.044840e-01   1.143730e-01 -0.53  0.992  8.010990e-01	3.036210e-01  -2.144600e-01   5.110390e-02 -0.31  0.991  4.768290e-01	8.765940e-01  -6.027410e-01   1.451170e-01 -0.47  0.990      
-3.536650e+02	2.711000e+03  -1.017660e+03   2.121070e+02 -6.520740e+02	3.614600e+03  -1.873590e+03   3.782900e+02 -6.965750e+02	3.790460e+03  -2.143680e+03   4.079410e+02 -6.477140e+02	3.763530e+03  -2.247230e+03   4.224320e+02 -3.434120e+02	2.808060e+03  -1.521170e+03   2.903360e+02 -7.168860e+02	4.031030e+03  -2.551340e+03   4.773080e+02
 9.999860e-01   2.663060e-05  -1.945230e-05   4.508700e-06   9.954260e-01   9.145530e-03  -6.674340e-03   1.572100e-03   8.801220e-01   2.357320e-01  -1.764970e-01   4.175820e-02   6.895150e-01   5.967890e-01  -4.464110e-01   1.057790e-01   5.154650e-02   1.102260e+00  -7.592330e-01   1.772650e-01  -1.785760e-01   2.283900e+00  -1.745990e+00   4.253400e-01
 5.755230e-01	5.607300e-01  -3.356870e-01   7.400180e-02 -0.52  0.977  4.797910e-01	7.981270e-01  -5.198690e-01   1.199290e-01 -0.55  0.983  4.658670e-01	8.506240e-01  -5.571030e-01   1.281210e-01 -0.53  0.985  5.115950e-01	7.811830e-01  -5.044840e-01   1.143730e-01 -0.53  0.992  8.010990e-01	3.036210e-01  -2.144600e-01   5.110390e-02 -0.31  0.991  4.768290e-01	8.765940e-01  -6.027410e-01   1.451170e-01 -0.47  0.990      
-9.718320e-02	1.641850e+03   1.540440e+02  -7.077120e+02 -3.952790e-02	1.636950e+03   3.529430e+01   1.423320e+03 -1.313480e-01	1.645040e+03   2.862970e+02  -1.391110e+03 -9.162900e-03	1.643000e+03  -1.074980e+02   2.003160e+03  4.861600e-01	1.603340e+03  -4.984530e+02  -1.087930e+03 -6.118770e-03	1.641360e+03  -2.873390e+02   1.466410e+03
 1.000000e+00  -1.449590e-07  -1.044580e-10   1.032890e-12  9.999990e-01  -3.496280e-05  -1.221900e-08   1.722870e-10  9.983330e-01  -1.394150e-03   7.747610e-07   2.197480e-08  9.927590e-01  -3.715980e-03   1.378850e-05   9.251950e-09  6.219920e-01  -1.243220e-04  -8.312330e-06   7.305510e-08  8.842820e-01  -1.054120e-02   1.257930e-04  -5.478030e-07
 7.329120e-01	2.559570e-03  -2.966230e-05   1.735300e-07 -0.65  0.975  6.913910e-01	4.007280e-03  -4.139870e-05   1.878540e-07 -0.65  0.982  6.939110e-01	4.040160e-03  -2.893020e-05   7.814020e-08 -0.65  0.988  7.151180e-01	4.602720e-03  -3.478610e-05   9.010970e-08 -0.65  0.995  8.733010e-01	2.966810e-03  -4.559590e-05   2.484860e-07 -0.34  0.993  6.407930e-01	9.699280e-03  -1.114160e-04   4.636570e-07 -0.53  0.990
-1.102070e-01	1.642940e+03   6.362040e+01  -4.253820e+02 -1.094060e-02	1.634820e+03  -1.478040e+00   2.542160e+02 -2.796940e-02	1.635400e+03   6.043970e+01  -1.662570e+03  2.242130e-01	1.630870e+03  -2.734630e+02  -1.881270e+02  1.347690e+00	1.555240e+03  -8.790990e+02  -4.846000e+02  2.030030e-01	1.632620e+03  -4.172980e+02  -8.224050e+02
