         Step =   359  Time=   718.000 sec. Max. pressure corr.= 0.375E+01 Max. CFL= 0.446E+00 Max. CFL_acoustic= 0.000E+00
           Elapsed time =    0.002 min.  User time =    0.002 min.  System time =    0.000 min. 

           Wrote time series in OUTPUT/T_S
           Max & Min pdiag                 0.0577    35     1    61         -0.0313    29     1    40
           Max & Min tdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min qdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min ldiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min rdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min udiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min vdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min wdiag                 0.0154    64     1    76         -0.0000    49     1     1
           Max & Min pdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min tdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min qdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min ldiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min rdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min udiag                 0.0558    38     1    59         -0.0558    61     1    59
           Max & Min vdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min wdiag                 0.0706    63     1    62         -0.0400    72     1    68
           Max & Min pdiag                 0.0000    97     1    37         -0.0000    72     1    70
           Max & Min tdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min qdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min ldiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min rdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min udiag                 0.0475    70     1    70         -0.0475    29     1    70
           Max & Min vdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min wdiag                 0.0452    27     1    72         -0.0549    72     1    68
           Max & Min pdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min tdiag                 0.0195    32     1    77         -0.0125    32     1    72
           Max & Min qdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min ldiag                 0.0000     1     1     1          0.0000     1     1     1
