         Step =   399  Time=   399.000 sec. Max. pressure corr.= 0.113E+01 Max. CFL= 0.177E+00 Max. CFL_acoustic= 0.000E+00
           Elapsed time =    0.018 min.  User time =    0.017 min.  System time =    0.001 min. 

           Wrote time series in OUTPUT/T_S
           Max & Min wdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min pdiag                 0.0225    41    41    47         -0.0115    40    41    37
           Max & Min tdiag                 6.3824    39    38    51         -1.8603    38    35    49
           Max & Min qdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min ldiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min rdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min udiag                 0.0279    44    33    44         -0.0277    23    36    43
           Max & Min vdiag                 0.0279    33    44    44         -0.0277    36    23    43
           Max & Min wdiag                 0.0122    38    39    49         -0.0000    33    33     1
           Max & Min pdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min tdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min qdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min ldiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min rdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min udiag                 0.0299    26    34    49         -0.0308    42    34    49
           Max & Min vdiag                 0.0299    34    26    49         -0.0308    34    42    49
           Max & Min wdiag                 0.0803    40    41    47         -0.0235    41    40    37
           Max & Min pdiag                 0.0000     1     1    18         -0.0000    33    33    64
           Max & Min tdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min qdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min ldiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min rdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min udiag                 0.0269    26    34    49         -0.0277    42    34    49
           Max & Min vdiag                 0.0269    34    26    49         -0.0277    34    42    49
           Max & Min wdiag                 0.0565    40    40    48         -0.0158    24    25    46
           Max & Min pdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min tdiag                 0.0213    38    40    50         -0.0070    38    38    48
           Max & Min qdiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min ldiag                 0.0000     1     1     1          0.0000     1     1     1
           Max & Min rdiag                 0.0000     1     1     1          0.0000     1     1     1
 SUCCESS writing netcdf file ./OUTPUT/bubble.nc
           Wrote restart data in OUTPUT/restart.dat and OUTPUT/REF0
         Step =   400  Time=   400.000 sec. Max. pressure corr.= 0.113E+01 Max. CFL= 0.178E+00 Max. CFL_acoustic= 0.000E+00
           Elapsed time =    0.055 min.  User time =    0.049 min.  System time =    0.006 min. 

  
 Ending Time: SEP 18, 2017   10:29:36.475
 
 MIMICA ENDED NORMALLY
